รูปภาพ,ตัวอักษร,จังหวัด,เดือน/วัน/ปี เวลา
test_01.jpeg,9กข4159,,2023-10-20 14:27:20
test_02.jpeg,8กช9646,,2023-10-20 14:27:20
test_03.jpeg,8กล2626,,2023-10-20 14:27:20
test_04.jpeg,กว3591,,2023-10-20 14:27:20
test_05.jpeg,3กก5517,,2023-10-20 14:27:20
test_06.jpeg,ญธ1816,,2023-10-20 14:27:20
test_07.jpeg,9กฒ5967,,2023-10-20 14:27:20
test_01.jpeg,9กข4159,,2023-10-20 15:27:48
test_02.jpeg,8กช9646,,2023-10-20 15:27:48
test_03.jpeg,8กล2626,,2023-10-20 15:27:48
test_04.jpeg,กว3591,,2023-10-20 15:27:48
test_05.jpeg,3กก5517,,2023-10-20 15:27:48
test_06.jpeg,ญธ1816,,2023-10-20 15:27:48
test_07.jpeg,9กฒ5967,,2023-10-20 15:27:48
16_12_2023_00_31_17.png,5ก1952,,2023-12-16 16:10:40
16_12_2023_00_31_25.png,2ข5369,,2023-12-16 16:10:40
16_12_2023_00_31_31.png,8กพ3418,,2023-12-16 16:10:40
